,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.547,23724.0,0.329598624143251
1,0.02,0.547,23724.0,0.329598624143251
2,0.03,0.547,23724.0,0.329598624143251
3,0.04,0.547,23724.0,0.329598624143251
4,0.05,0.547,23724.0,0.329598624143251
5,0.06,0.547,23724.0,0.329598624143251
6,0.07,0.547,23724.0,0.329598624143251
7,0.08,0.547,23724.0,0.329598624143251
8,0.09,0.547,23724.0,0.329598624143251
9,0.1,0.547,23724.0,0.329598624143251
10,0.11,0.547,23724.0,0.329598624143251
11,0.12,0.547,23724.0,0.329598624143251
12,0.13,0.547,23724.0,0.329598624143251
13,0.14,0.547,23724.0,0.329598624143251
14,0.15,0.547,23724.0,0.329598624143251
15,0.16,0.547,23724.0,0.329598624143251
16,0.17,0.547,23724.0,0.329598624143251
17,0.18,0.547,23724.0,0.329598624143251
18,0.19,0.547,23724.0,0.329598624143251
19,0.2,0.547,23724.0,0.329598624143251
20,0.21,0.547,23724.0,0.329598624143251
21,0.22,0.547,23724.0,0.329598624143251
22,0.23,0.547,23724.0,0.329598624143251
23,0.24,0.547,23724.0,0.329598624143251
24,0.25,0.547,23724.0,0.329598624143251
25,0.26,0.547,23724.0,0.329598624143251
26,0.27,0.547,23724.0,0.329598624143251
27,0.28,0.547,23724.0,0.329598624143251
28,0.29,0.547,23724.0,0.329598624143251
29,0.3,0.547,23724.0,0.329598624143251
30,0.31,0.547,23724.0,0.329598624143251
31,0.32,0.547,23724.0,0.329598624143251
32,0.33,0.547,23724.0,0.329598624143251
33,0.34,0.547,23724.0,0.329598624143251
34,0.35,0.547,23724.0,0.329598624143251
35,0.36,0.547,23724.0,0.329598624143251
36,0.37,0.547,23724.0,0.329598624143251
37,0.38,0.547,23724.0,0.329598624143251
38,0.39,0.547,23724.0,0.329598624143251
39,0.4,0.547,23724.0,0.329598624143251
40,0.41,0.547,23722.0,0.329598624143251
41,0.42,0.547,23678.0,0.329598624143251
42,0.43,0.548,23594.0,0.329598624143251
43,0.44,0.549,23489.0,0.329598624143251
44,0.45,0.55,23237.0,0.329598624143251
45,0.46,0.552,22916.0,0.329598624143251
46,0.47,0.556,22406.0,0.329598624143251
47,0.48,0.56,21647.0,0.329598624143251
48,0.49,0.565,20519.0,0.329598624143251
49,0.5,0.57,19117.0,0.329598624143251
50,0.51,0.574,17628.0,0.329598624143251
51,0.52,0.581,15991.0,0.329598624143251
52,0.53,0.587,14134.0,0.329598624143251
53,0.54,0.595,12365.0,0.329598624143251
54,0.55,0.602,10675.0,0.329598624143251
55,0.56,0.613,8860.0,0.329598624143251
56,0.57,0.623,7096.0,0.329598624143251
57,0.58,0.636,5665.0,0.329598624143251
58,0.59,0.652,4454.0,0.329598624143251
59,0.6,0.658,3534.0,0.329598624143251
60,0.61,0.67,2801.0,0.329598624143251
61,0.62,0.682,2196.0,0.329598624143251
62,0.63,0.693,1714.0,0.329598624143251
63,0.64,0.702,1334.0,0.329598624143251
64,0.65,0.709,1035.0,0.329598624143251
65,0.66,0.726,733.0,0.329598624143251
66,0.67,0.725,524.0,0.329598624143251
67,0.68,0.751,382.0,0.329598624143251
68,0.69,0.788,283.0,0.329598624143251
69,0.7,0.779,204.0,0.329598624143251
70,0.71,0.776,152.0,0.329598624143251
71,0.72,0.78,100.0,0.329598624143251
72,0.73,0.814,59.0,0.329598624143251
73,0.74,0.857,21.0,0.329598624143251
74,0.75,1.0,7.0,0.329598624143251
