,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.178,28226.0,0.11751743098463806
1,0.02,0.178,28226.0,0.11751743098463806
2,0.03,0.178,28226.0,0.11751743098463806
3,0.04,0.178,28226.0,0.11751743098463806
4,0.05,0.178,28226.0,0.11751743098463806
5,0.06,0.178,28226.0,0.11751743098463806
6,0.07,0.178,28226.0,0.11751743098463806
7,0.08,0.178,28224.0,0.11751743098463806
8,0.09,0.178,28192.0,0.11751743098463806
9,0.1,0.178,28076.0,0.11751743098463806
10,0.11,0.179,27859.0,0.11751743098463806
11,0.12,0.181,27452.0,0.11751743098463806
12,0.13,0.183,26540.0,0.11751743098463806
13,0.14,0.186,24817.0,0.11751743098463806
14,0.15,0.192,22565.0,0.11751743098463806
15,0.16,0.199,19398.0,0.11751743098463806
16,0.17,0.209,15475.0,0.11751743098463806
17,0.18,0.222,11156.0,0.11751743098463806
18,0.19,0.241,7757.0,0.11751743098463806
19,0.2,0.258,5398.0,0.11751743098463806
20,0.21,0.267,3790.0,0.11751743098463806
21,0.22,0.283,2719.0,0.11751743098463806
22,0.23,0.305,2060.0,0.11751743098463806
23,0.24,0.317,1658.0,0.11751743098463806
24,0.25,0.315,1364.0,0.11751743098463806
25,0.26,0.327,1073.0,0.11751743098463806
26,0.27,0.354,791.0,0.11751743098463806
27,0.28,0.384,536.0,0.11751743098463806
28,0.29,0.386,420.0,0.11751743098463806
29,0.3,0.387,336.0,0.11751743098463806
30,0.31,0.383,256.0,0.11751743098463806
31,0.32,0.419,167.0,0.11751743098463806
32,0.33,0.506,87.0,0.11751743098463806
33,0.34,0.641,39.0,0.11751743098463806
34,0.35,0.8,15.0,0.11751743098463806
35,0.36,0.75,8.0,0.11751743098463806
36,0.37,1.0,2.0,0.11751743098463806
